NumOpeningMoves,NumMovesRepeatedPieceMovement,EarlyQueenMovesPenalty,EarlyOverextendingPenalty,EarlyKnighBishopDevelopmentBonus,RepeatedPieceMovePenalty,KnightOnEdgePenalty,RepeatedPositionPenalty,wins,loses,draws
5,92,1.3630488021890286,0.8962568228401204,0.5733094266489882,0.8197157447628902,0.7299373921836694,0.6311405926754485,0,0,0
5,92,1.4630488021890287,0.14565738261264882,1.6875482905094337,1.0197157447628904,0.6299373921836693,0.7311405926754486,0,0,0
5,56,1.3630488021890286,0.14565738261264882,0.5733094266489882,0.8197157447628902,0.7299373921836694,0.5811405926754485,0,0,0
5,92,1.3630488021890286,0.9462568228401205,0.5233094266489882,0.874241436517218,0.6799373921836693,0.5811405926754485,0,0,0
5,92,1.3130488021890285,0.9462568228401205,0.5733094266489882,0.8697157447628903,0.8299373921836695,0.7311405926754486,0,0,0
5,92,0.7414616501069884,0.7962568228401203,0.6233094266489883,1.0742414365172182,0.7799373921836694,0.5811405926754485,0,0,0
2,92,1.2630488021890285,0.14565738261264882,0.6233094266489883,0.8697157447628903,0.5299373921836692,0.6811405926754486,0,0,0
5,56,1.6630488021890288,0.14565738261264882,0.6733094266489883,0.9742414365172181,0.6799373921836693,0.5811405926754485,0,0,0
5,92,1.1630488021890284,0.9462568228401205,0.5233094266489882,0.874241436517218,0.4799373921836692,0.6811405926754486,0,0,0
5,92,1.3130488021890285,0.14565738261264882,0.6233094266489883,0.8242414365172179,0.7299373921836694,0.6811405926754486,0,0,0
1,92,1.3130488021890285,0.09565738261264882,1.5875482905094336,1.024241436517218,0.8299373921836695,0.5811405926754485,0,0,0
5,92,0.6414616501069883,0.8962568228401204,0.5733094266489882,1.1242414365172182,0.7799373921836694,0.5811405926754485,0,0,0
5,8,1.4630488021890287,0.1956573826126488,0.6733094266489883,1.0697157447628904,0.7299373921836694,0.48114059267544845,0,0,0
5,56,1.4130488021890286,0.14565738261264882,0.5233094266489882,0.8197157447628902,0.7299373921836694,0.5311405926754484,0,0,0
5,92,1.3630488021890286,0.09565738261264882,0.6233094266489883,0.9197157447628903,0.6799373921836693,0.6811405926754486,0,0,0
2,92,1.4630488021890287,0.7962568228401203,0.6733094266489883,0.7742414365172179,0.5299373921836692,0.7811405926754487,0,0,0
5,92,1.3630488021890286,0.8462568228401204,0.6233094266489883,0.8697157447628903,0.6299373921836693,0.7311405926754486,0,0,0
2,92,1.1630488021890284,0.9962568228401205,0.7233094266489883,0.8242414365172179,0.7799373921836694,0.6811405926754486,0,0,0
5,8,1.4130488021890286,0.2456573826126488,0.5233094266489882,0.9697157447628904,0.8299373921836695,0.6811405926754486,0,0,0
5,56,1.290977593717687,0.14565738261264882,0.6233094266489883,0.9697157447628904,0.6799373921836693,0.6311405926754485,0,0,0
4,92,1.4630488021890287,0.9462568228401205,0.5733094266489882,1.0197157447628904,0.8299373921836695,0.5811405926754485,0,0,0
2,56,1.3130488021890285,0.04565738261264882,0.5733094266489882,0.9697157447628904,0.6299373921836693,0.6811405926754486,0,0,0
5,92,0.6914616501069883,0.14565738261264882,0.6233094266489883,0.8697157447628903,0.8299373921836695,0.5811405926754485,0,0,0
6,92,1.4630488021890287,0.1956573826126488,0.6733094266489883,0.8697157447628903,0.7299373921836694,0.6811405926754486,0,0,0
5,92,1.3130488021890285,0.14565738261264882,0.5733094266489882,0.874241436517218,0.7299373921836694,0.7311405926754486,0,0,0
1,92,1.3130488021890285,0.14565738261264882,1.5875482905094336,1.024241436517218,0.8299373921836695,0.5811405926754485,0,0,0
